Grasp,Object,Task,Video,TimeStamp,Subject,Duration,A,B,C,GraspedDimension,Rigidity,Roundness,Mass,CCObj,GraspSize,PIP,OppType,Shape,Type,Force,Constraint,Class,CCTask,blackRatio
light tool,wheel-like handle on machine,turning handle,88,0:28:00,Machinist 1,0,,,,CCObj,CCObj,CCObj,,1,10,Power,Palm,CCObj,CCObj,interaction,rxx,use,0,0
no grasp,,,88,0:28:00,Machinist 1,5,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
tripod,small part,holding part,88,0:28:05,Machinist 1,2,,,,CCObj,CCObj,CCObj,,1,,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,88,0:28:07,Machinist 1,0,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
tripod,small knob,turning knob,88,0:28:07,Machinist 1,3,4.5,2.5,2.5,b/c,rigid,a,150,0,2.5,Precision,Pad,prolate,cylinder,interaction,rxx,use,0,0
no grasp,,,88,0:28:10,Machinist 1,4,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
quadpod,small part,holding part,88,0:28:14,Machinist 1,0,,,,CCObj,CCObj,CCObj,,1,,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,88,0:28:14,Machinist 1,2,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-3 finger,small tool,holding tool,88,0:28:16,Machinist 1,1,,,,CCObj,CCObj,CCObj,,1,1,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,88,0:28:17,Machinist 1,1,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-3 finger,small part,holding part,88,0:28:18,Machinist 1,1,,,,CCObj,CCObj,CCObj,,1,,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,88,0:28:19,Machinist 1,0,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-index finger,small part,holding part,88,0:28:19,Machinist 1,3,,,,CCObj,CCObj,CCObj,,1,,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,88,0:28:22,Machinist 1,3,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
large diameter,aerosol can,aiming can at work,88,0:28:25,Machinist 1,2,15,6,6,b/c,rigid,a,275,0,6,Power,Palm,prolate,cylinder,weight,utt,use,0,0
no grasp,,,88,0:28:27,Machinist 1,2,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
light tool,end of hose,aiming hose at work,88,0:28:29,Machinist 1,3,12.5,2.5,2.5,b/c,rigid,a,135,0,2.5,Power,Palm,prolate,cylinder,weight,utt,use,0,0
no grasp,,,88,0:28:32,Machinist 1,0,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-index finger,small part,holding part,88,0:28:32,Machinist 1,4,,,,CCObj,CCObj,CCObj,,1,,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,88,0:28:36,Machinist 1,3,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-index finger,small part,holding part,88,0:28:39,Machinist 1,8,,,,CCObj,CCObj,CCObj,,1,,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,88,0:28:47,Machinist 1,4,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
lateral pinch,small part,holding part,88,0:28:51,Machinist 1,6,,,,CCObj,CCObj,CCObj,,1,,Intermediate,Side,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,88,0:28:57,Machinist 1,0,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
light tool,wheel-like handle on machine,turning handle,88,0:28:57,Machinist 1,3,,,,CCObj,CCObj,CCObj,,1,10,Power,Palm,CCObj,CCObj,interaction,rxx,use,0,0
no grasp,,,88,0:29:00,Machinist 1,1,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
tripod,small knob,turning knob,88,0:29:01,Machinist 1,20,4.5,2.5,2.5,b/c,rigid,a,150,0,2.5,Precision,Pad,prolate,cylinder,interaction,rxx,use,0,0
no grasp,,,88,0:29:21,Machinist 1,0,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
tripod,knob on rod-like handle,pushing,88,0:29:21,Machinist 1,3,3,3,3,a/b/c,rigid,abc,200,0,3,Precision,Pad,equant,sphere,interaction,rxx,hold,0,0
no grasp,,,88,0:29:24,Machinist 1,1,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-3 finger,file,holding tool,88,0:29:25,Machinist 1,2,,,,CCObj,CCObj,CCObj,,1,2,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
thumb-index finger,file,filing part,88,0:29:27,Machinist 1,3,,,,CCObj,CCObj,CCObj,,1,2,Precision,Pad,CCObj,CCObj,CCTask,CCTask,CCTask,1,0
no grasp,,,88,0:29:30,Machinist 1,1,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
lateral pinch,knob on rod-like handle,pushing,88,0:29:31,Machinist 1,1,3,3,3,a/b/c,rigid,abc,200,0,3,Intermediate,Side,equant,sphere,interaction,rxx,hold,0,0
no grasp,,,88,0:29:32,Machinist 1,2,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
tripod,small knob,turning knob,88,0:29:34,Machinist 1,2,4.5,2.5,2.5,b/c,rigid,a,150,0,2.5,Precision,Pad,prolate,cylinder,interaction,rxx,use,0,0
no grasp,,,88,0:29:36,Machinist 1,0,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
index finger extension,mallet,holding tool,88,0:29:36,Machinist 1,1,15,3,2.5,b/c,rigid,a,750,0,3,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
no grasp,,,88,0:29:37,Machinist 1,4,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
quadpod,small part,holding part,88,0:29:41,Machinist 1,2,,,,CCObj,CCObj,CCObj,,1,,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,88,0:29:43,Machinist 1,1,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
light tool,end of hose,aiming hose at work,88,0:29:44,Machinist 1,6,12.5,2.5,2.5,b/c,rigid,a,135,0,2.5,Power,Palm,prolate,cylinder,weight,utt,use,0,0
no grasp,,,88,0:29:50,Machinist 1,1,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
adduction,tool,holding tool,88,0:29:51,Machinist 1,2,,,,CCObj,CCObj,CCObj,,1,2,Intermediate,Side,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,88,0:29:53,Machinist 1,6,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
large diameter,aerosol can,aiming can at work,88,0:29:59,Machinist 1,1,15,6,6,b/c,rigid,a,275,0,6,Power,Palm,prolate,cylinder,weight,utt,use,0,0
light tool,end of hose,aiming hose at work,89,0:00:00,Machinist 1,2,12.5,2.5,2.5,b/c,rigid,a,135,0,2.5,Power,Palm,prolate,cylinder,weight,utt,use,0,0
no grasp,,,89,0:00:02,Machinist 1,4,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-index finger,small part,holding part,89,0:00:06,Machinist 1,2,,,,CCObj,CCObj,CCObj,,1,,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,89,0:00:08,Machinist 1,2,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-2 finger,small part,holding part,89,0:00:10,Machinist 1,2,,,,CCObj,CCObj,CCObj,,1,,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
thumb-index finger,small part,holding part,89,0:00:12,Machinist 1,3,,,,CCObj,CCObj,CCObj,,1,,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,89,0:00:15,Machinist 1,3,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
quadpod,small part,holding part,89,0:00:18,Machinist 1,13,,,,CCObj,CCObj,CCObj,,1,,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,89,0:00:31,Machinist 1,2,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
lateral pinch,rod-like handle on machine,pushing,89,0:00:33,Machinist 1,1,15,1.25,1.25,b/c,rigid,a,200,0,1.25,Intermediate,Side,prolate,cylinder,interaction,rxx,hold,0,0
no grasp,,,89,0:00:34,Machinist 1,0,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
tripod,small knob,turning knob,89,0:00:34,Machinist 1,20,4.5,2.5,2.5,b/c,rigid,a,150,0,2.5,Precision,Pad,prolate,cylinder,interaction,rxx,use,0,0
no grasp,,,89,0:00:56,Machinist 1,1,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-4 finger,file,holding tool,89,0:00:57,Machinist 1,2,,,,CCObj,CCObj,CCObj,,1,2,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
thumb-index finger,file,holding tool,89,0:00:59,Machinist 1,7,,,,CCObj,CCObj,CCObj,,1,2,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,89,0:01:06,Machinist 1,1,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
lateral pinch,knob on rod-like handle,pushing,89,0:01:07,Machinist 1,1,3,3,3,a/b/c,rigid,abc,200,0,3,Intermediate,Side,equant,sphere,interaction,rxx,hold,0,0
no grasp,,,89,0:01:08,Machinist 1,3,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
tripod,small knob,turning knob,89,0:01:11,Machinist 1,0,4.5,2.5,2.5,b/c,rigid,a,150,0,2.5,Precision,Pad,prolate,cylinder,interaction,rxx,use,0,0
no grasp,,,89,0:01:11,Machinist 1,1,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
light tool,wheel-like handle on machine,turning handle,89,0:01:12,Machinist 1,1,,,,CCObj,CCObj,CCObj,,1,10,Power,Palm,CCObj,CCObj,interaction,rxx,use,0,0
no grasp,,,89,0:01:13,Machinist 1,7,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
quadpod,small part,holding part,89,0:01:20,Machinist 1,3,,,,CCObj,CCObj,CCObj,,1,,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,89,0:01:23,Machinist 1,4,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
large diameter,aerosol can,aiming can at work,89,0:01:27,Machinist 1,5,15,6,6,b/c,rigid,a,275,0,6,Power,Palm,prolate,cylinder,weight,utt,use,0,0
no grasp,,,89,0:01:32,Machinist 1,0,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
light tool,end of hose,aiming hose at work,89,0:01:32,Machinist 1,3,12.5,2.5,2.5,b/c,rigid,a,135,0,2.5,Power,Palm,prolate,cylinder,weight,utt,use,0,0
no grasp,,,89,0:01:35,Machinist 1,8,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
large diameter,metal can,holding can,89,0:01:43,Machinist 1,6,15,10,10,b/c,rigid,a,65,0,10,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
no grasp,,,89,0:01:49,Machinist 1,5,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
light tool,drawer,opening,89,0:01:54,Machinist 1,2,15,8,1.5,c,rigid,non-round,1000,0,1.5,Power,Palm,bladed,irregular,CCTask,CCTask,CCTask,1,0
no grasp,,,89,0:01:56,Machinist 1,3,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-4 finger,file,holding tool,89,0:01:59,Machinist 1,3,,,,CCObj,CCObj,CCObj,,1,2,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,89,0:02:02,Machinist 1,10,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-2 finger,cup,drinking,89,0:02:12,Machinist 1,3,15,7,7,b/c,squeezable,a,35,0,7,Precision,Pad,prolate,cylinder,weight,utt,use,0,0
no grasp,,,89,0:02:15,Machinist 1,7,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-2 finger,small part,holding part,89,0:02:22,Machinist 1,1,,,,CCObj,CCObj,CCObj,,1,,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,89,0:02:23,Machinist 1,2,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
tripod,small part,holding part,89,0:02:25,Machinist 1,1,,,,CCObj,CCObj,CCObj,,1,,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,89,0:02:26,Machinist 1,2,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-index finger,small part,holding part,89,0:02:28,Machinist 1,3,,,,CCObj,CCObj,CCObj,,1,,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,89,0:02:31,Machinist 1,8,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
writing tripod,pen,writing,89,0:02:39,Machinist 1,4,14.5,0.9,0.9,b/c,rigid,a,17.5,0,0.9,Precision,Side,prolate,cylinder,interaction,uur,use,0,0
no grasp,,,89,0:02:43,Machinist 1,15,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
lateral pinch,paper,reading,89,0:02:58,Machinist 1,8,15,15,0.2,b/c,squeezable,non-round,10,0,15,Intermediate,Side,oblate,short prism,weight,utt,hold,0,0
no grasp,,,89,0:03:06,Machinist 1,8,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
small diameter,pen,holding pen,89,0:03:14,Machinist 1,9,14.5,0.9,0.9,b/c,rigid,a,17.5,0,0.9,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
writing tripod,pen,holding pen,89,0:03:23,Machinist 1,13,14.5,0.9,0.9,b/c,rigid,a,17.5,0,0.9,Precision,Side,prolate,cylinder,weight,uuu,hold,0,0
no grasp,,,89,0:03:36,Machinist 1,6,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
writing tripod,pen,writing,89,0:03:42,Machinist 1,6,14.5,0.9,0.9,b/c,rigid,a,17.5,0,0.9,Precision,Side,prolate,cylinder,interaction,uur,use,0,0
adduction,pen,holding pen,89,0:03:48,Machinist 1,3,14.5,0.9,0.9,b/c,rigid,a,17.5,0,0.9,Intermediate,Side,prolate,cylinder,weight,uuu,hold,0,0
writing tripod,pen,writing,89,0:03:51,Machinist 1,8,14.5,0.9,0.9,b/c,rigid,a,17.5,0,0.9,Precision,Side,prolate,cylinder,interaction,uur,use,0,0
lateral tripod,pen,holding pen,89,0:03:59,Machinist 1,3,14.5,0.9,0.9,b/c,rigid,a,17.5,0,0.9,Intermediate,Side,prolate,cylinder,weight,uuu,hold,0,0
writing tripod,pen,writing,89,0:04:02,Machinist 1,4,14.5,0.9,0.9,b/c,rigid,a,17.5,0,0.9,Precision,Side,prolate,cylinder,interaction,uur,use,0,0
adduction,pen,holding pen,89,0:04:06,Machinist 1,3,14.5,0.9,0.9,b/c,rigid,a,17.5,0,0.9,Intermediate,Side,prolate,cylinder,weight,uuu,hold,0,0
writing tripod,pen,writing,89,0:04:09,Machinist 1,7,14.5,0.9,0.9,b/c,rigid,a,17.5,0,0.9,Precision,Side,prolate,cylinder,interaction,uur,use,0,0
adduction,pen,holding pen,89,0:04:16,Machinist 1,3,14.5,0.9,0.9,b/c,rigid,a,17.5,0,0.9,Intermediate,Side,prolate,cylinder,weight,uuu,hold,0,0
writing tripod,pen,writing,89,0:04:19,Machinist 1,2,14.5,0.9,0.9,b/c,rigid,a,17.5,0,0.9,Precision,Side,prolate,cylinder,interaction,uur,use,0,0
adduction,pen,holding pen,89,0:04:21,Machinist 1,5,14.5,0.9,0.9,b/c,rigid,a,17.5,0,0.9,Intermediate,Side,prolate,cylinder,weight,uuu,hold,0,0
writing tripod,pen,writing,89,0:04:26,Machinist 1,4,14.5,0.9,0.9,b/c,rigid,a,17.5,0,0.9,Precision,Side,prolate,cylinder,interaction,uur,use,0,0
adduction,pen,holding pen,89,0:04:30,Machinist 1,2,14.5,0.9,0.9,b/c,rigid,a,17.5,0,0.9,Intermediate,Side,prolate,cylinder,weight,uuu,hold,0,0
writing tripod,pen,writing,89,0:04:32,Machinist 1,6,14.5,0.9,0.9,b/c,rigid,a,17.5,0,0.9,Precision,Side,prolate,cylinder,interaction,uur,use,0,0
adduction,pen,holding pen,89,0:04:38,Machinist 1,7,14.5,0.9,0.9,b/c,rigid,a,17.5,0,0.9,Intermediate,Side,prolate,cylinder,weight,uuu,hold,0,0
thumb-4 finger,pen,holding pen,89,0:04:45,Machinist 1,2,14.5,0.9,0.9,b/c,rigid,a,17.5,0,0.9,Precision,Pad,prolate,cylinder,weight,uuu,hold,0,0
no grasp,,,89,0:04:47,Machinist 1,1,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
lateral pinch,ruler,measuring with ruler,89,0:04:48,Machinist 1,3,15,2.25,0.25,c,rigid,non-round,32.5,0,0.25,Intermediate,Side,bladed,irregular,weight,uuu,use,0,0
no grasp,,,89,0:04:51,Machinist 1,18,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-4 finger,electric tool,holding tool,89,0:05:09,Machinist 1,4,15,6.5,6.5,b/c,rigid,a,550,0,6.5,Precision,Pad,prolate,cylinder,weight,uuu,hold,0,0
large diameter,electric tool,holding tool,89,0:05:13,Machinist 1,5,15,6.5,6.5,b/c,rigid,a,550,0,6.5,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
no grasp,,,89,0:05:18,Machinist 1,3,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-2 finger,small part,holding part,89,0:05:21,Machinist 1,3,,,,CCObj,CCObj,CCObj,,1,,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,89,0:05:24,Machinist 1,1,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
tripod,small part,holding part,89,0:05:25,Machinist 1,4,,,,CCObj,CCObj,CCObj,,1,,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,89,0:05:29,Machinist 1,7,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-index finger,small part,holding part,89,0:05:36,Machinist 1,2,,,,CCObj,CCObj,CCObj,,1,,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,89,0:05:38,Machinist 1,5,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-index finger,small part,holding part,89,0:05:43,Machinist 1,2,,,,CCObj,CCObj,CCObj,,1,,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,89,0:05:45,Machinist 1,0,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
adducted thumb,electric tool,holding tool,89,0:05:45,Machinist 1,5,15,6.5,6.5,b/c,rigid,a,550,0,6.5,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
no grasp,,,89,0:05:50,Machinist 1,0,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-2 finger,small part,holding part,89,0:05:50,Machinist 1,4,,,,CCObj,CCObj,CCObj,,1,,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,89,0:05:54,Machinist 1,2,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-index finger,small tool,holding tool,89,0:05:56,Machinist 1,1,,,,CCObj,CCObj,CCObj,,1,1,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
lateral tripod,small tool,holding tool,89,0:05:57,Machinist 1,6,,,,CCObj,CCObj,CCObj,,1,1,Intermediate,Side,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,89,0:06:03,Machinist 1,2,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
adducted thumb,electric tool,holding tool,89,0:06:05,Machinist 1,38,15,6.5,6.5,b/c,rigid,a,550,0,6.5,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
no grasp,,,89,0:06:43,Machinist 1,2,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-2 finger,small tool,holding tool,89,0:06:45,Machinist 1,5,,,,CCObj,CCObj,CCObj,,1,1,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,89,0:06:50,Machinist 1,0,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
medium wrap,electric tool,holding tool,89,0:06:50,Machinist 1,13,15,6.5,6.5,b/c,rigid,a,550,0,6.5,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
no grasp,,,89,0:07:03,Machinist 1,3,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
medium wrap,saw,holding tool,89,0:07:06,Machinist 1,8,10,4,2.5,b/c,rigid,a,600,0,4,Power,Palm,bladed,ellipse A,weight,uuu,hold,0,0
no grasp,,,89,0:07:14,Machinist 1,0,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
lateral pinch,drawer,opening,89,0:07:14,Machinist 1,1,15,8,1.5,c,rigid,non-round,1000,0,1.5,Intermediate,Side,bladed,irregular,CCTask,CCTask,CCTask,1,0
no grasp,,,89,0:07:15,Machinist 1,0,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
ventral,saw,holding tool,89,0:07:15,Machinist 1,1,10,4,2.5,b/c,rigid,a,600,0,4,Intermediate,Side,bladed,ellipse A,weight,uuu,hold,0,0
no grasp,,,89,0:07:16,Machinist 1,14,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
medium wrap,power cord,holding cord,89,0:07:30,Machinist 1,4,15,0.9,0.9,b/c,squeezable,a,85,0,0.9,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
light tool,power cord,holding cord,89,0:07:34,Machinist 1,13,15,0.9,0.9,b/c,squeezable,a,85,0,0.9,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
tripod,power cord,plugging in cord,89,0:07:47,Machinist 1,1,15,0.9,0.9,b/c,squeezable,a,85,0,0.9,Precision,Pad,prolate,cylinder,weight,txx,use,0,0
no grasp,,,89,0:07:48,Machinist 1,2,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
medium wrap,electric tool,holding tool,89,0:07:50,Machinist 1,14,15,6.5,6.5,b/c,rigid,a,550,0,6.5,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
no grasp,,,89,0:08:04,Machinist 1,13,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
tripod,small part,holding part,89,0:08:17,Machinist 1,1,,,,CCObj,CCObj,CCObj,,1,,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,89,0:08:18,Machinist 1,1,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-3 finger,small part,holding part,89,0:08:19,Machinist 1,2,,,,CCObj,CCObj,CCObj,,1,,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,89,0:08:21,Machinist 1,5,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
large diameter,medium part,holding part,89,0:08:26,Machinist 1,3,8,8,3.5,a/b,rigid,c,300,0,8,Power,Palm,oblate,disk,weight,uuu,hold,0,0
quadpod,small part,holding part,89,0:08:29,Machinist 1,6,,,,CCObj,CCObj,CCObj,,1,,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
thumb-2 finger,small part,holding part,89,0:08:35,Machinist 1,5,,,,CCObj,CCObj,CCObj,,1,,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,89,0:08:40,Machinist 1,2,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
adduction,rod-like handle on machine,turning handle,89,0:08:42,Machinist 1,5,15,1.25,1.25,b/c,rigid,a,200,0,1.25,Intermediate,Side,prolate,cylinder,interaction,rxx,use,0,0
no grasp,,,89,0:08:47,Machinist 1,2,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
ring,medium part,holding part,89,0:08:49,Machinist 1,3,8,8,3.5,a/b,rigid,c,300,0,8,Power,Pad,oblate,disk,weight,uuu,hold,0,0
no grasp,,,89,0:08:52,Machinist 1,2,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
adduction,rod-like handle on machine,turning handle,89,0:08:54,Machinist 1,2,15,1.25,1.25,b/c,rigid,a,200,0,1.25,Intermediate,Side,prolate,cylinder,interaction,rxx,use,0,0
no grasp,,,89,0:08:56,Machinist 1,7,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
medium wrap,electric tool,using tool on part,89,0:09:03,Machinist 1,14,15,6.5,6.5,b/c,rigid,a,550,0,6.5,Power,Palm,prolate,cylinder,weight,uuu,use,0,0
no grasp,,,89,0:10:17,Machinist 1,2,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-2 finger,ruler,measuring with ruler,89,0:10:19,Machinist 1,15,15,2.25,0.25,c,rigid,non-round,32.5,0,0.25,Precision,Pad,bladed,irregular,weight,uuu,use,0,0
no grasp,,,89,0:10:34,Machinist 1,3,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-3 finger,rod-like handle on machine,pushing,89,0:10:37,Machinist 1,9,15,1.25,1.25,b/c,rigid,a,200,0,1.25,Precision,Pad,prolate,cylinder,interaction,rxx,hold,0,0
no grasp,,,89,0:10:46,Machinist 1,3,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
medium wrap,electric tool,holding tool,89,0:10:49,Machinist 1,7,15,6.5,6.5,b/c,rigid,a,550,0,6.5,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
no grasp,,,89,0:10:56,Machinist 1,0,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-3 finger,ruler,measuring with ruler,89,0:10:56,Machinist 1,3,15,2.25,0.25,c,rigid,non-round,32.5,0,0.25,Precision,Pad,bladed,irregular,weight,uuu,use,0,0
no grasp,,,89,0:10:59,Machinist 1,1,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
medium wrap,electric tool,holding tool,89,0:11:00,Machinist 1,1,15,6.5,6.5,b/c,rigid,a,550,0,6.5,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
