,ID,Subject,Grasp,ADL,Video,StartFrame,EndFrame,OppType,PIP,VirtualFingers,Thumb,Duration,depthStart,depthEnd,SequenceNum,BigCategories,SmallCategories
1601,Grasp01602,subject 10,prismatic 3 finger,cooking,subject_10_gopro_seg_2.mp4,11411,11448,Pad,Precision,2-4,Abd,1.23,11412,11449,1,pre-prismatic,pre-prismatic
1602,Grasp01603,subject 10,prismatic 2 finger,cooking,subject_10_gopro_seg_2.mp4,11460,11502,Pad,Precision,2-3,Abd,1.4,11461,11503,0,pre-prismatic,pre-prismatic
1606,Grasp01607,subject 10,small diameter,cooking,subject_10_gopro_seg_2.mp4,12156,12193,Palm,Power,2-5,Abd,1.23,12157,12194,0,pow-prismatic,pow-cylindric
1607,Grasp01608,subject 10,lateral,cooking,subject_10_gopro_seg_2.mp4,12266,12336,Side,Intermediate,2-5,Add,2.33,12267,12337,0,int-lateral,int-lateral
1608,Grasp01609,subject 10,prismatic 2 finger,cooking,subject_10_gopro_seg_2.mp4,12346,12382,Pad,Precision,2-3,Abd,1.2,12346,12382,0,pre-prismatic,pre-prismatic
1609,Grasp01610,subject 10,sphere 4 finger,cooking,subject_10_gopro_seg_2.mp4,12388,12604,Pad,Power,2,Abd,7.2,12388,12604,0,circular,pow-circular
1610,Grasp01611,subject 10,inferior pincer,cooking,subject_10_gopro_seg_2.mp4,12650,12673,Pad,Precision,2,Abd,0.77,12650,12674,0,pre-prismatic,pre-pinch
1612,Grasp01613,subject 10,lateral,cooking,subject_10_gopro_seg_2.mp4,12906,12998,Side,Intermediate,2-5,Add,3.07,12906,12998,0,int-lateral,int-lateral
1613,Grasp01614,subject 10,palmar pinch,cooking,subject_10_gopro_seg_2.mp4,13028,13104,Pad,Precision,2,Abd,2.53,13028,13104,0,pre-prismatic,pre-pinch
1615,Grasp01616,subject 10,palmar pinch,cooking,subject_10_gopro_seg_2.mp4,14247,14582,Pad,Precision,2,Abd,11.17,14247,14582,0,pre-prismatic,pre-pinch
1616,Grasp01617,subject 10,prismatic 4 finger,cooking,subject_10_gopro_seg_2.mp4,14774,14945,Pad,Precision,2-5,Abd,5.7,14774,14945,0,pre-prismatic,pre-prismatic
1617,Grasp01618,subject 10,tripod,cooking,subject_10_gopro_seg_2.mp4,14964,15045,Pad,Precision,2-3,Abd,2.7,14961,15042,0,circular,pre-circular
1618,Grasp01619,subject 10,prismatic 2 finger,cooking,subject_10_gopro_seg_2.mp4,15059,15073,Pad,Precision,2-3,Abd,0.47,15056,15071,0,pre-prismatic,pre-prismatic
1619,Grasp01620,subject 10,index finger extension,cooking,subject_10_gopro_seg_2.mp4,15079,15637,Palm,Power,3-5,Add,18.6,15077,15635,1,pow-prismatic,pow-oblique
1620,Grasp01621,subject 10,prismatic 2 finger,cooking,subject_10_gopro_seg_2.mp4,15644,15669,Pad,Precision,2-3,Abd,0.83,15642,15664,2,pre-prismatic,pre-prismatic
1621,Grasp01622,subject 10,prismatic 2 finger,cooking,subject_10_gopro_seg_2.mp4,16006,16019,Pad,Precision,2-3,Abd,0.43,16001,16014,0,pre-prismatic,pre-prismatic
1623,Grasp01624,subject 10,index finger extension,cooking,subject_10_gopro_seg_2.mp4,16056,16313,Palm,Power,3-5,Add,8.57,16051,16308,2,pow-prismatic,pow-oblique
1624,Grasp01625,subject 10,prismatic 2 finger,cooking,subject_10_gopro_seg_2.mp4,16316,16335,Pad,Precision,2-3,Abd,0.63,16311,16330,3,pre-prismatic,pre-prismatic
1625,Grasp01626,subject 10,prismatic 3 finger,cooking,subject_10_gopro_seg_2.mp4,17236,17253,Pad,Precision,2-4,Abd,0.57,17231,17248,0,pre-prismatic,pre-prismatic
1628,Grasp01629,subject 10,small diameter,cooking,subject_10_gopro_seg_3.mp4,238,480,Palm,Power,2-5,Abd,8.07,232,470,0,pow-prismatic,pow-cylindric
1629,Grasp01630,subject 10,lateral tripod,cooking,subject_10_gopro_seg_3.mp4,501,733,Side,Intermediate,3,Add,7.73,491,723,0,int-lateral,int-lateral
1630,Grasp01631,subject 10,prismatic 4 finger,cooking,subject_10_gopro_seg_3.mp4,843,909,Pad,Precision,2-5,Abd,2.2,833,899,0,pre-prismatic,pre-prismatic
1631,Grasp01632,subject 10,lateral tripod,cooking,subject_10_gopro_seg_3.mp4,929,1137,Side,Intermediate,3,Add,6.93,919,1125,0,int-lateral,int-lateral
1632,Grasp01633,subject 10,lateral tripod,cooking,subject_10_gopro_seg_3.mp4,1220,2272,Side,Intermediate,3,Add,35.07,1206,2258,0,int-lateral,int-lateral
1633,Grasp01634,subject 10,lateral tripod,cooking,subject_10_gopro_seg_3.mp4,2402,2660,Side,Intermediate,3,Add,8.6,2388,2644,0,int-lateral,int-lateral
1634,Grasp01635,subject 10,lateral tripod,cooking,subject_10_gopro_seg_3.mp4,3093,3975,Side,Intermediate,3,Add,29.4,3073,3950,0,int-lateral,int-lateral
1635,Grasp01636,subject 10,lateral tripod,cooking,subject_10_gopro_seg_3.mp4,4120,4466,Side,Intermediate,3,Add,11.53,4095,4441,0,int-lateral,int-lateral
1636,Grasp01637,subject 10,lateral tripod,cooking,subject_10_gopro_seg_3.mp4,4825,5042,Side,Intermediate,3,Add,7.23,4790,5007,0,int-lateral,int-lateral
1637,Grasp01638,subject 10,lateral tripod,cooking,subject_10_gopro_seg_3.mp4,5462,5912,Side,Intermediate,3,Add,15.0,5427,5877,0,int-lateral,int-lateral
1638,Grasp01639,subject 10,lateral tripod,cooking,subject_10_gopro_seg_3.mp4,6062,6296,Side,Intermediate,3,Add,7.8,6020,6249,0,int-lateral,int-lateral
1639,Grasp01640,subject 10,lateral tripod,cooking,subject_10_gopro_seg_3.mp4,6339,6554,Side,Intermediate,3,Add,7.17,6286,6501,0,int-lateral,int-lateral
1640,Grasp01641,subject 10,lateral tripod,cooking,subject_10_gopro_seg_3.mp4,6608,8697,Side,Intermediate,3,Add,69.63,6555,8644,0,int-lateral,int-lateral
1641,Grasp01642,subject 10,lateral tripod,cooking,subject_10_gopro_seg_3.mp4,8896,9133,Side,Intermediate,3,Add,7.9,8843,9078,0,int-lateral,int-lateral
1642,Grasp01643,subject 10,prismatic 4 finger,cooking,subject_10_gopro_seg_3.mp4,9143,9165,Pad,Precision,2-5,Abd,0.73,9088,9110,0,pre-prismatic,pre-prismatic
1644,Grasp01645,subject 10,lateral tripod,cooking,subject_10_gopro_seg_3.mp4,9187,9296,Side,Intermediate,3,Add,3.63,9132,9241,2,int-lateral,int-lateral
1646,Grasp01647,subject 10,lateral tripod,cooking,subject_10_gopro_seg_3.mp4,9377,9421,Side,Intermediate,3,Add,1.47,9322,9366,4,int-lateral,int-lateral
1648,Grasp01649,subject 10,prismatic 4 finger,cooking,subject_10_gopro_seg_3.mp4,9477,9503,Pad,Precision,2-5,Abd,0.87,9422,9448,6,pre-prismatic,pre-prismatic
1650,Grasp01651,subject 10,power sphere,cooking,subject_10_gopro_seg_3.mp4,9679,9875,Palm,Power,2-5,Abd,6.53,9624,9820,0,circular,pow-circular
1651,Grasp01652,subject 10,power sphere,cooking,subject_10_gopro_seg_3.mp4,9877,10283,Palm,Power,2-5,Abd,13.53,9822,10228,0,circular,pow-circular
1653,Grasp01654,subject 10,prismatic 3 finger,cooking,subject_10_gopro_seg_3.mp4,10618,10744,Pad,Precision,2-4,Abd,4.2,10563,10689,2,pre-prismatic,pre-prismatic
1654,Grasp01655,subject 10,precision disk,cooking,subject_10_gopro_seg_3.mp4,10764,10920,Pad,Precision,2-5,Abd,5.2,10709,10865,3,circular,pre-circular
1655,Grasp01656,subject 10,adduction grip,cooking,subject_10_gopro_seg_3.mp4,10926,10966,Side,Intermediate,3,Abd,1.33,10871,10911,4,pre-prismatic,pre-pinch
1656,Grasp01657,subject 10,palmar pinch,cooking,subject_10_gopro_seg_3.mp4,10975,11028,Pad,Precision,2,Abd,1.77,10920,10973,5,pre-prismatic,pre-pinch
1657,Grasp01658,subject 10,power sphere,cooking,subject_10_gopro_seg_3.mp4,11029,11478,Palm,Power,2-5,Abd,14.97,10974,11423,6,circular,pow-circular
1658,Grasp01659,subject 10,prismatic 3 finger,cooking,subject_10_gopro_seg_3.mp4,11634,11654,Pad,Precision,2-4,Abd,0.67,11581,11601,0,pre-prismatic,pre-prismatic
1659,Grasp01660,subject 10,tripod,cooking,subject_10_gopro_seg_3.mp4,11687,11842,Pad,Precision,2-3,Abd,5.17,11634,11789,1,circular,pre-circular
1661,Grasp01662,subject 10,inferior pincer,cooking,subject_10_gopro_seg_3.mp4,11909,11936,Pad,Precision,2,Abd,0.9,11856,11883,1,pre-prismatic,pre-pinch
1662,Grasp01663,subject 10,lateral tripod,cooking,subject_10_gopro_seg_3.mp4,11946,11967,Side,Intermediate,3,Add,0.7,11893,11914,0,int-lateral,int-lateral
1669,Grasp01670,subject 10,prismatic 4 finger,cooking,subject_10_gopro_seg_3.mp4,13218,13238,Pad,Precision,2-5,Abd,0.67,13166,13186,0,pre-prismatic,pre-prismatic
1671,Grasp01672,subject 10,medium wrap,cooking,subject_10_gopro_seg_3.mp4,13337,13757,Palm,Power,2-5,Abd,14.0,13285,13707,0,pow-prismatic,pow-cylindric
1672,Grasp01673,subject 10,sphere 4 finger,cooking,subject_10_gopro_seg_3.mp4,13765,13817,Pad,Power,2,Abd,1.73,13715,13767,0,circular,pow-circular
1673,Grasp01674,subject 10,prismatic 2 finger,cooking,subject_10_gopro_seg_3.mp4,13876,13940,Pad,Precision,2-3,Abd,2.13,13826,13890,0,pre-prismatic,pre-prismatic
1674,Grasp01675,subject 10,sphere 4 finger,cooking,subject_10_gopro_seg_3.mp4,13945,13989,Pad,Power,2,Abd,1.47,13895,13939,0,circular,pow-circular
1678,Grasp01679,subject 10,precision disk,cooking,subject_10_gopro_seg_3.mp4,14031,15007,Pad,Precision,2-5,Abd,32.53,13981,14957,4,circular,pre-circular
1679,Grasp01680,subject 10,prismatic 2 finger,cooking,subject_10_gopro_seg_3.mp4,15032,15047,Pad,Precision,2-3,Abd,0.5,14982,14997,0,pre-prismatic,pre-prismatic
1683,Grasp01684,subject 10,lateral tripod,cooking,subject_10_gopro_seg_3.mp4,16229,16336,Side,Intermediate,3,Add,3.57,16179,16286,0,int-lateral,int-lateral
1684,Grasp01685,subject 10,sphere 4 finger,cooking,subject_10_gopro_seg_3.mp4,16338,16649,Pad,Power,2,Abd,10.37,16289,16600,0,circular,pow-circular
1685,Grasp01686,subject 10,prismatic 2 finger,cooking,subject_10_gopro_seg_3.mp4,16665,16697,Pad,Precision,2-3,Abd,1.07,16617,16649,0,pre-prismatic,pre-prismatic
1688,Grasp01689,subject 10,precision disk,housekeeping,subject_10_gopro_seg_4.mp4,283,568,Pad,Precision,2-5,Abd,9.5,270,555,0,circular,pre-circular
1689,Grasp01690,subject 10,precision disk,housekeeping,subject_10_gopro_seg_4.mp4,596,1262,Pad,Precision,2-5,Abd,22.2,583,1236,0,circular,pre-circular
1690,Grasp01691,subject 10,precision disk,housekeeping,subject_10_gopro_seg_4.mp4,1413,1472,Pad,Precision,2-5,Abd,1.97,1386,1441,0,circular,pre-circular
1693,Grasp01694,subject 10,precision disk,housekeeping,subject_10_gopro_seg_4.mp4,2288,2337,Pad,Precision,2-5,Abd,1.63,2182,2231,0,circular,pre-circular
1698,Grasp01699,subject 10,inferior pincer,laundry,subject_10_gopro_seg_4.mp4,3578,3684,Pad,Precision,2,Abd,3.53,3435,3538,0,pre-prismatic,pre-pinch
1699,Grasp01700,subject 10,lateral,laundry,subject_10_gopro_seg_4.mp4,3728,3911,Side,Intermediate,2-5,Add,6.1,3582,3765,0,int-lateral,int-lateral
1700,Grasp01701,subject 10,prismatic 4 finger,laundry,subject_10_gopro_seg_4.mp4,3952,3970,Pad,Precision,2-5,Abd,0.6,3806,3824,0,pre-prismatic,pre-prismatic
1701,Grasp01702,subject 10,medium wrap,laundry,subject_10_gopro_seg_4.mp4,4036,4083,Palm,Power,2-5,Abd,1.57,3890,3937,0,pow-prismatic,pow-cylindric
1702,Grasp01703,subject 10,prismatic 3 finger,laundry,subject_10_gopro_seg_4.mp4,4084,4191,Pad,Precision,2-4,Abd,3.57,3938,4027,2,pre-prismatic,pre-prismatic
1703,Grasp01704,subject 10,medium wrap,laundry,subject_10_gopro_seg_4.mp4,4192,4223,Palm,Power,2-5,Abd,1.03,4028,4059,3,pow-prismatic,pow-cylindric
1705,Grasp01706,subject 10,medium wrap,laundry,subject_10_gopro_seg_4.mp4,4684,4807,Palm,Power,2-5,Abd,4.1,4501,4613,0,pow-prismatic,pow-cylindric
1706,Grasp01707,subject 10,medium wrap,laundry,subject_10_gopro_seg_4.mp4,4934,5009,Palm,Power,2-5,Abd,2.5,4727,4801,0,pow-prismatic,pow-cylindric
1707,Grasp01708,subject 10,medium wrap,laundry,subject_10_gopro_seg_4.mp4,5146,5204,Palm,Power,2-5,Abd,1.93,4925,4983,0,pow-prismatic,pow-cylindric
1708,Grasp01709,subject 10,index finger extension,laundry,subject_10_gopro_seg_4.mp4,5210,5875,Palm,Power,3-5,Add,22.17,4989,5635,0,pow-prismatic,pow-oblique
1710,Grasp01711,subject 10,medium wrap,laundry,subject_10_gopro_seg_4.mp4,6236,6739,Palm,Power,2-5,Abd,16.77,5980,6483,0,pow-prismatic,pow-cylindric
1711,Grasp01712,subject 10,medium wrap,laundry,subject_10_gopro_seg_4.mp4,6883,7355,Palm,Power,2-5,Abd,15.73,6627,7081,0,pow-prismatic,pow-cylindric
1712,Grasp01713,subject 10,medium wrap,laundry,subject_10_gopro_seg_4.mp4,7468,7722,Palm,Power,2-5,Abd,8.47,7194,7448,0,pow-prismatic,pow-cylindric
1713,Grasp01714,subject 10,medium wrap,laundry,subject_10_gopro_seg_4.mp4,8077,8192,Palm,Power,2-5,Abd,3.83,7789,7875,0,pow-prismatic,pow-cylindric
1714,Grasp01715,subject 10,lateral tripod,laundry,subject_10_gopro_seg_4.mp4,8290,8391,Side,Intermediate,3,Add,3.37,7973,8073,0,int-lateral,int-lateral
1715,Grasp01716,subject 10,medium wrap,housekeeping,subject_10_gopro_seg_4.mp4,8815,9392,Palm,Power,2-5,Abd,19.23,8496,9071,0,pow-prismatic,pow-cylindric
1716,Grasp01717,subject 10,medium wrap,housekeeping,subject_10_gopro_seg_4.mp4,9426,9466,Palm,Power,2-5,Abd,1.33,9105,9142,0,pow-prismatic,pow-cylindric
1717,Grasp01718,subject 10,prismatic 4 finger,housekeeping,subject_10_gopro_seg_4.mp4,9473,9500,Pad,Precision,2-5,Abd,0.9,9149,9176,0,pre-prismatic,pre-prismatic
1719,Grasp01720,subject 10,inferior pincer,housekeeping,subject_10_gopro_seg_4.mp4,9943,9968,Pad,Precision,2,Abd,0.83,9614,9639,0,pre-prismatic,pre-pinch
1720,Grasp01721,subject 10,large diameter,housekeeping,subject_10_gopro_seg_4.mp4,10394,10423,Palm,Power,2-5,Abd,0.97,10063,10092,0,pow-prismatic,pow-cylindric
1721,Grasp01722,subject 10,prismatic 4 finger,housekeeping,subject_10_gopro_seg_4.mp4,10437,10487,Pad,Precision,2-5,Abd,1.67,10106,10156,0,pre-prismatic,pre-prismatic
1722,Grasp01723,subject 10,adducted thumb,housekeeping,subject_10_gopro_seg_4.mp4,10497,11040,Palm,Power,2-5,Add,18.1,10166,10709,0,pow-prismatic,pow-oblique
1723,Grasp01724,subject 10,medium wrap,housekeeping,subject_10_gopro_seg_4.mp4,11071,11118,Palm,Power,2-5,Abd,1.57,10740,10787,0,pow-prismatic,pow-cylindric
1724,Grasp01725,subject 10,small diameter,housekeeping,subject_10_gopro_seg_4.mp4,11126,11196,Palm,Power,2-5,Abd,2.33,10795,10865,0,pow-prismatic,pow-cylindric
1725,Grasp01726,subject 10,medium wrap,housekeeping,subject_10_gopro_seg_4.mp4,11204,11333,Palm,Power,2-5,Abd,4.3,10873,11002,0,pow-prismatic,pow-cylindric
1726,Grasp01727,subject 10,medium wrap,housekeeping,subject_10_gopro_seg_4.mp4,11546,14213,Palm,Power,2-5,Abd,88.9,11215,13700,0,pow-prismatic,pow-cylindric
1727,Grasp01728,subject 10,adducted thumb,housekeeping,subject_10_gopro_seg_5.mp4,5,30,Palm,Power,2-5,Add,0.83,9,36,0,pow-prismatic,pow-oblique
1728,Grasp01729,subject 10,medium wrap,housekeeping,subject_10_gopro_seg_5.mp4,40,213,Palm,Power,2-5,Abd,5.77,45,214,0,pow-prismatic,pow-cylindric
1729,Grasp01730,subject 10,small diameter,housekeeping,subject_10_gopro_seg_5.mp4,217,418,Palm,Power,2-5,Abd,6.7,218,419,0,pow-prismatic,pow-cylindric
1730,Grasp01731,subject 10,medium wrap,housekeeping,subject_10_gopro_seg_5.mp4,420,1505,Palm,Power,2-5,Abd,36.17,421,1507,0,pow-prismatic,pow-cylindric
1731,Grasp01732,subject 10,small diameter,housekeeping,subject_10_gopro_seg_5.mp4,1554,1635,Palm,Power,2-5,Abd,2.7,1556,1637,0,pow-prismatic,pow-cylindric
1732,Grasp01733,subject 10,medium wrap,housekeeping,subject_10_gopro_seg_5.mp4,1650,2725,Palm,Power,2-5,Abd,35.83,1650,2725,0,pow-prismatic,pow-cylindric
1735,Grasp01736,subject 10,medium wrap,housekeeping,subject_10_gopro_seg_6.mp4,663,689,Palm,Power,2-5,Abd,0.87,660,685,0,pow-prismatic,pow-cylindric
1736,Grasp01737,subject 10,medium wrap,housekeeping,subject_10_gopro_seg_6.mp4,699,726,Palm,Power,2-5,Abd,0.9,695,721,0,pow-prismatic,pow-cylindric
1737,Grasp01738,subject 10,adducted thumb,housekeeping,subject_10_gopro_seg_6.mp4,731,805,Palm,Power,2-5,Add,2.47,726,800,0,pow-prismatic,pow-oblique
1738,Grasp01739,subject 10,medium wrap,housekeeping,subject_10_gopro_seg_6.mp4,1053,1093,Palm,Power,2-5,Abd,1.33,1047,1087,0,pow-prismatic,pow-cylindric
1739,Grasp01740,subject 12,sphere 4 finger,cooking,subject_12_gopro_seg_1.mp4,607,832,Pad,Power,2,Abd,7.5,607,832,0,circular,pow-circular
1740,Grasp01741,subject 12,sphere 4 finger,cooking,subject_12_gopro_seg_1.mp4,871,928,Pad,Power,2,Abd,1.9,871,925,0,circular,pow-circular
1741,Grasp01742,subject 12,sphere 4 finger,cooking,subject_12_gopro_seg_1.mp4,941,1039,Pad,Power,2,Abd,3.27,938,1036,0,circular,pow-circular
1742,Grasp01743,subject 12,prismatic 2 finger,cooking,subject_12_gopro_seg_1.mp4,1178,1243,Pad,Precision,2-3,Abd,2.17,1163,1225,0,pre-prismatic,pre-prismatic
1743,Grasp01744,subject 12,adduction grip,cooking,subject_12_gopro_seg_1.mp4,1251,1359,Side,Intermediate,3,Abd,3.6,1233,1341,0,pre-prismatic,pre-pinch
1744,Grasp01745,subject 12,prismatic 3 finger,cooking,subject_12_gopro_seg_1.mp4,1711,1783,Pad,Precision,2-4,Abd,2.4,1689,1761,0,pre-prismatic,pre-prismatic
1745,Grasp01746,subject 12,palmar pinch,cooking,subject_12_gopro_seg_1.mp4,1793,1828,Pad,Precision,2,Abd,1.17,1771,1795,0,pre-prismatic,pre-pinch
1746,Grasp01747,subject 12,adduction grip,cooking,subject_12_gopro_seg_1.mp4,2136,2189,Side,Intermediate,3,Abd,1.77,2103,2156,0,pre-prismatic,pre-pinch
1747,Grasp01748,subject 12,large diameter,cooking,subject_12_gopro_seg_1.mp4,2207,2319,Palm,Power,2-5,Abd,3.73,2174,2285,0,pow-prismatic,pow-cylindric
1748,Grasp01749,subject 12,quadpod,cooking,subject_12_gopro_seg_1.mp4,2832,3021,Pad,Precision,2-4,Abd,6.3,2787,2975,0,circular,pre-circular
1751,Grasp01752,subject 12,quadpod,cooking,subject_12_gopro_seg_1.mp4,3866,4007,Pad,Precision,2-4,Abd,4.7,3811,3952,0,circular,pre-circular
1752,Grasp01753,subject 12,large diameter,cooking,subject_12_gopro_seg_1.mp4,4147,4283,Palm,Power,2-5,Abd,4.53,4092,4234,0,pow-prismatic,pow-cylindric
1753,Grasp01754,subject 12,large diameter,cooking,subject_12_gopro_seg_1.mp4,4411,5567,Palm,Power,2-5,Abd,38.53,4363,5519,0,pow-prismatic,pow-cylindric
1754,Grasp01755,subject 12,prismatic 3 finger,cooking,subject_12_gopro_seg_1.mp4,6211,6281,Pad,Precision,2-4,Abd,2.33,6166,6236,0,pre-prismatic,pre-prismatic
1755,Grasp01756,subject 12,medium wrap,cooking,subject_12_gopro_seg_1.mp4,6287,6360,Palm,Power,2-5,Abd,2.43,6242,6316,1,pow-prismatic,pow-cylindric
1757,Grasp01758,subject 12,index finger extension,cooking,subject_12_gopro_seg_1.mp4,6475,6981,Palm,Power,3-5,Add,16.87,6431,6937,3,pow-prismatic,pow-oblique
1758,Grasp01759,subject 12,quadpod,cooking,subject_12_gopro_seg_1.mp4,6993,7069,Pad,Precision,2-4,Abd,2.53,6949,7025,0,circular,pre-circular
1759,Grasp01760,subject 12,prismatic 4 finger,cooking,subject_12_gopro_seg_1.mp4,7078,7248,Pad,Precision,2-5,Abd,5.67,7034,7204,0,pre-prismatic,pre-prismatic
1760,Grasp01761,subject 12,quadpod,cooking,subject_12_gopro_seg_1.mp4,7259,7594,Pad,Precision,2-4,Abd,11.17,7215,7550,0,circular,pre-circular
1762,Grasp01763,subject 12,lateral tripod,cooking,subject_12_gopro_seg_1.mp4,8822,8878,Side,Intermediate,3,Add,1.87,8778,8834,0,int-lateral,int-lateral
1765,Grasp01766,subject 12,quadpod,cooking,subject_12_gopro_seg_1.mp4,11637,11667,Pad,Precision,2-4,Abd,1.0,11593,11623,0,circular,pre-circular
1766,Grasp01767,subject 12,sphere 3 finger,cooking,subject_12_gopro_seg_1.mp4,11970,12000,Pad,Power,2-3,Abd,1.0,11932,11962,0,circular,pow-circular
1770,Grasp01771,subject 12,sphere 3 finger,cooking,subject_12_gopro_seg_1.mp4,13134,13334,Pad,Power,2-3,Abd,6.67,13096,13296,0,circular,pow-circular
1771,Grasp01772,subject 12,prismatic 4 finger,cooking,subject_12_gopro_seg_1.mp4,13701,13809,Pad,Precision,2-5,Abd,3.6,13663,13771,0,pre-prismatic,pre-prismatic
1773,Grasp01774,subject 12,prismatic 4 finger,cooking,subject_12_gopro_seg_1.mp4,14235,14325,Pad,Precision,2-5,Abd,3.0,14197,14287,0,pre-prismatic,pre-prismatic
1775,Grasp01776,subject 12,sphere 3 finger,cooking,subject_12_gopro_seg_1.mp4,15801,15847,Pad,Power,2-3,Abd,1.53,15763,15809,0,circular,pow-circular
1776,Grasp01777,subject 12,adduction grip,cooking,subject_12_gopro_seg_1.mp4,16069,16112,Side,Intermediate,3,Abd,1.43,16031,16074,0,pre-prismatic,pre-pinch
1779,Grasp01780,subject 12,tripod,cooking,subject_12_gopro_seg_1.mp4,16456,16487,Pad,Precision,2-3,Abd,1.03,16418,16448,0,circular,pre-circular
1780,Grasp01781,subject 12,lateral,cooking,subject_12_gopro_seg_1.mp4,16504,16542,Side,Intermediate,2-5,Add,1.27,16465,16503,0,int-lateral,int-lateral
1781,Grasp01782,subject 12,tripod,cooking,subject_12_gopro_seg_1.mp4,16555,16610,Pad,Precision,2-3,Abd,1.83,16516,16571,0,circular,pre-circular
1782,Grasp01783,subject 12,prismatic 4 finger,cooking,subject_12_gopro_seg_1.mp4,17766,17808,Pad,Precision,2-5,Abd,1.4,17727,17765,0,pre-prismatic,pre-prismatic
1783,Grasp01784,subject 12,prismatic 4 finger,cooking,subject_12_gopro_seg_1.mp4,17816,17825,Pad,Precision,2-5,Abd,0.3,0,1,0,pre-prismatic,pre-prismatic
1784,Grasp01785,subject 12,power sphere,cooking,subject_12_gopro_seg_1.mp4,17826,17847,Palm,Power,2-5,Abd,0.7,0,1,1,circular,pow-circular
1786,Grasp01787,subject 12,adduction grip,cooking,subject_12_gopro_seg_2.mp4,285,362,Side,Intermediate,3,Abd,2.57,284,361,0,pre-prismatic,pre-pinch
1787,Grasp01788,subject 12,palmar pinch,cooking,subject_12_gopro_seg_2.mp4,708,785,Pad,Precision,2,Abd,2.57,707,784,0,pre-prismatic,pre-pinch
1788,Grasp01789,subject 12,prismatic 4 finger,cooking,subject_12_gopro_seg_2.mp4,787,953,Pad,Precision,2-5,Abd,5.53,786,952,1,pre-prismatic,pre-prismatic
1789,Grasp01790,subject 12,sphere 3 finger,cooking,subject_12_gopro_seg_2.mp4,983,1034,Pad,Power,2-3,Abd,1.7,982,1033,0,circular,pow-circular
1791,Grasp01792,subject 12,medium wrap,cooking,subject_12_gopro_seg_2.mp4,1484,1729,Palm,Power,2-5,Abd,8.17,1482,1727,0,pow-prismatic,pow-cylindric
1792,Grasp01793,subject 12,prismatic 3 finger,cooking,subject_12_gopro_seg_2.mp4,2358,2391,Pad,Precision,2-4,Abd,1.1,2356,2389,0,pre-prismatic,pre-prismatic
1793,Grasp01794,subject 12,index finger extension,cooking,subject_12_gopro_seg_2.mp4,2397,2835,Palm,Power,3-5,Add,14.6,2395,2833,0,pow-prismatic,pow-oblique
1795,Grasp01796,subject 12,index finger extension,cooking,subject_12_gopro_seg_2.mp4,3052,3317,Palm,Power,3-5,Add,8.83,3050,3315,2,pow-prismatic,pow-oblique
1797,Grasp01798,subject 12,index finger extension,cooking,subject_12_gopro_seg_2.mp4,3947,4504,Palm,Power,3-5,Add,18.57,3945,4502,4,pow-prismatic,pow-oblique
1799,Grasp01800,subject 12,prismatic 3 finger,cooking,subject_12_gopro_seg_2.mp4,5691,5751,Pad,Precision,2-4,Abd,2.0,5689,5749,0,pre-prismatic,pre-prismatic
1800,Grasp01801,subject 12,sphere 4 finger,cooking,subject_12_gopro_seg_2.mp4,5752,6110,Pad,Power,2,Abd,11.93,5750,6108,1,circular,pow-circular
1801,Grasp01802,subject 12,adducted thumb,cooking,subject_12_gopro_seg_2.mp4,6116,8234,Palm,Power,2-5,Add,70.6,6114,8232,2,pow-prismatic,pow-oblique
1802,Grasp01803,subject 12,prismatic 2 finger,cooking,subject_12_gopro_seg_2.mp4,8235,8303,Pad,Precision,2-3,Abd,2.27,8233,8301,3,pre-prismatic,pre-prismatic
1804,Grasp01805,subject 12,quadpod,cooking,subject_12_gopro_seg_2.mp4,9713,9798,Pad,Precision,2-4,Abd,2.83,9711,9796,0,circular,pre-circular
1805,Grasp01806,subject 12,lateral,cooking,subject_12_gopro_seg_2.mp4,9865,9958,Side,Intermediate,2-5,Add,3.1,9863,9956,0,int-lateral,int-lateral
1809,Grasp01810,subject 12,sphere 3 finger,cooking,subject_12_gopro_seg_2.mp4,10895,11007,Pad,Power,2-3,Abd,3.73,10896,11008,0,circular,pow-circular
1810,Grasp01811,subject 12,sphere 4 finger,cooking,subject_12_gopro_seg_2.mp4,11013,11401,Pad,Power,2,Abd,12.93,11014,11402,0,circular,pow-circular
1815,Grasp01816,subject 12,sphere 4 finger,cooking,subject_12_gopro_seg_2.mp4,13620,13868,Pad,Power,2,Abd,8.27,13598,13852,0,circular,pow-circular
1818,Grasp01819,subject 12,medium wrap,cooking,subject_12_gopro_seg_2.mp4,14264,14307,Palm,Power,2-5,Abd,1.43,14244,14287,0,pow-prismatic,pow-cylindric
1823,Grasp01824,subject 12,sphere 3 finger,cooking,subject_12_gopro_seg_2.mp4,14861,15045,Pad,Power,2-3,Abd,6.13,14841,15025,0,circular,pow-circular
1824,Grasp01825,subject 12,prismatic 4 finger,cooking,subject_12_gopro_seg_2.mp4,15105,15168,Pad,Precision,2-5,Abd,2.1,15085,15148,0,pre-prismatic,pre-prismatic
1825,Grasp01826,subject 12,adducted thumb,cooking,subject_12_gopro_seg_2.mp4,15169,15456,Palm,Power,2-5,Add,9.57,15149,15436,1,pow-prismatic,pow-oblique
